Day,Product vendor,Product title,Product type,Product variant ID,Product variant title,Hour,Hour of day,Product ID,Product tag,Product variant SKU,Order ID,Sales channel,POS location ID,Orders,Gross sales,Discounts,Returns,Net sales,Shipping charges,Duties,Additional fees,Taxes,Total sales,Quantity ordered
2025-01-01,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
2025-01-02,Yum Ice,Yum Ice - Freeze Dried Candy,Freeze- Dried Candy,4.30701E+13,Peach Penguins,2025-01-02 13:00,13,7.30681E+12,local vendors,,5.71931E+12,Point of Sale,67810984120,1,10,-2.5,0,7.5,0,0,0,0.91,8.41,1
2025-01-02,CHURI,Pot Crochet Flower,Mini Crochet Flower,4.32725E+13,Flower medium $32,2025-01-02 11:00,11,7.33735E+12,,,5.7192E+12,Point of Sale,67810984120,1,32,0,0,32,0,0,0,3.84,35.84,1
2025-01-02,aRt.V,aRt.V,Art,4.85339E+13,Watercolor cards mini,2025-01-02 13:00,13,7.54159E+12,,,5.7193E+12,Point of Sale,67810984120,1,10,0,0,10,0,0,0,1.2,11.2,1
2025-01-02,CHURI,Gold Plated Jewelry,Jewelry,4.23666E+13,Bracelet $45,2025-01-02 17:00,17,7.27485E+12,,,5.71948E+12,Point of Sale,67810984120,1,45,0,0,45,0,0,0,5.4,50.4,1
2025-01-02,CHURI,Stickers,,4.23667E+13,Cat,2025-01-02 13:00,13,7.30038E+12,,,5.71932E+12,Point of Sale,67810984120,1,2,0,0,2,0,0,0,0.24,2.24,1
2025-01-02,CHURI,Stickers,,4.24704E+13,Other,2025-01-02 14:00,14,7.30038E+12,,,5.71934E+12,Point of Sale,67810984120,1,2,0,0,2,0,0,0,0.24,2.24,1
2025-01-02,CHURI,Stickers,,4.23667E+13,Cat,2025-01-02 14:00,14,7.30038E+12,,,5.71934E+12,Point of Sale,67810984120,1,6,0,0,6,0,0,0,0.72,6.72,3
2025-01-02,Menom,Menom Mug,Mug,4.88195E+13,Holiday sale $35,2025-01-02 17:00,17,7.38116E+12,local vendors,,5.71949E+12,Point of Sale,67810984120,1,35,0,0,35,0,0,0,4.2,39.2,1
2025-01-02,Ggumm Studio,Ggumm Studio Collection,,5.06729E+13,Princess frog,2025-01-02 12:00,12,7.31059E+12,local vendors,,5.71924E+12,Point of Sale,67810984120,1,22,0,0,22,0,0,0,2.64,24.64,1
2025-01-02,CHURI,Silver Jewelry,Jewelry,5.06834E+13,Silver necklace $50,2025-01-02 16:00,16,7.30038E+12,,,5.71947E+12,Point of Sale,67810984120,1,50,-25,0,25,0,0,0,3,28,1
2025-01-02,,,,,,2025-01-02 17:00,17,,,,5.71949E+12,Shop,0,0,0,0,0,0,12,0,0,0.6,12.6,0
